type,id,parent_id,title,author,content
comment,c-157e1e234febb22902,c-33eefdc88f8881ad64,,banditman,It gives me the same exact error. That one link was giving me the same error the other day too. I think they configured it wrong or something. Its always that one link equr exad.
comment,c-33eefdc88f8881ad64,139ab47211d264cfc22b,,Idiot420,"im having the same issue  even the url ending in exad from their latest post doesnt work. I can load it, but when I enter the 4 first and last digits it says I did it wrong, even though Ive done it correct"
comment,c-2360bc4adab4a9e572,139ab47211d264cfc22b,,nigga,Yes and it will stay offline until he learns some respect and maybe learns how to code a proper anti-ddos.
comment,c-82c2c5a4cee59c2549,139ab47211d264cfc22b,,jake0126,"yeah me too, it was down last week for a 12 hours or so then popped back up. so just be patient. probably undergoing maintenance or someting."
comment,c-52210579d899aedfd2,139ab47211d264cfc22b,,Thaddeus,Still down for me
comment,c-4c182978988bd3199b,c-602af20ae197324252,,PyroIP,thank you sir
comment,c-602af20ae197324252,139ab47211d264cfc22b,,ax3lcomx,"dont know whats going on, but if u looking for digital stuff i found this market Inaccess.biz ,with bunch of well known vendors."
comment,c-9c370641a70f14421b,c-080ef897f4cab7b168,,ElysiumMarket,Fixed on dev server should be live in 10 minutes.
comment,c-080ef897f4cab7b168,139ab47211d264cfc22b,,unknown24,same experience despite the last link being posted on dread guess by the one of the stuff still can't get the captcha of first and last 4 before dot onion. cant get through. I'm sure is under attack or phishing DDOs something.
comment,c-9e6cb6dde4a244d6cd,139ab47211d264cfc22b,,PyroIP,thanks everyone
comment,c-42b8a8c972a419ee9b,139ab47211d264cfc22b,,OGMat3,"Hey bro,  I always have issues with Elysium, but i usually try later during the day and it works. Today I was not able to log in during the morning but now I was able too.."
comment,c-e0b3422e0e74f6bb00,139ab47211d264cfc22b,,ElysiumMarket,Check the sicked topic on the Elysium sub Dread.
comment,c-f5dad6d28d75d634f9,139ab47211d264cfc22b,,PyroIP,"yea it worked finally a couple hours ago, hope all is well, thanks."
comment,c-e1ef8fd23f4729afb3,c-5a093cb5050b647339,,AutoModerator,See /d/Archetyp for updates  This comment was posted automatically by a bot. All AutoModerator settings are configured by individual communities. Contact this community's Moderators to have your post approved if you believe this was in error.
comment,c-30598120ed07476ae0,c-5a093cb5050b647339,,jake0126,"Yep i would never actually use Elysium to purchase anything lol, besides just looking at what vendors are on there idk who would actually use it over the markets you just mentioned. especially Archetyp or Abacus. There's just way more listings on both of those. Elysium has like 50-100 listings per categories if that?"
comment,c-84534e0272866b5696,c-5a093cb5050b647339,,ElysiumMarket,There was an issue with one mirror now fixed.
comment,c-5a093cb5050b647339,139ab47211d264cfc22b,,HiCap,"yes I have had this issue. if you had crypto in your wallet its probably gone already. the only link i use was the one here on dread, funny its the only one that you can get in with. my thoughts move up to archetyp abbicuss darkmatter or drughub"
post,f7bb70dc5d2564b7d4e7,,Newb Help.,hornyvampire,"Hi guys, I've done some research on finding verified buyers, and i guess i've come to the conclusion that there is not a 100% safe place for stuff to be ordered. Have any of you more seasoned guys picked up tips or tricks on finding these more reliable sellers? Or is it more of a just hope and get lucky, or know a guy? I have found blacklists, but all the whitelist you have to pay for, and that could be a scam in of itself. Anyone willing to shed some light on the situation?  Thanks in advance"
comment,c-7bc8bb8ef8eaf294ad,f7bb70dc5d2564b7d4e7,,samwhiskey,"Just use /d/superlist markets, check feedback for vendors on markets and see if any reviews on dread. Also check if the vendor has a dread account and see what the activity is like."
comment,c-342a12e8f677c77445,f7bb70dc5d2564b7d4e7,,maestrodutch,"Just use markets that uses escrow mate never pay first! Check /d/Archetyp"
comment,c-e6004ddd38d6dcb1bf,f7bb70dc5d2564b7d4e7,,biosphere,/d/vendorsuperlist
comment,c-8dea25cb3f0efd818d,c-656134189b8db58e15,,AutoModerator,See /d/Archetyp for updates  This comment was posted automatically by a bot. All AutoModerator settings are configured by individual communities. Contact this community's Moderators to have your post approved if you believe this was in error.
comment,c-656134189b8db58e15,f7bb70dc5d2564b7d4e7,,PotionsNPortals,[removed by moderators]
comment,c-6b6aaafede7abff0dd,f7bb70dc5d2564b7d4e7,,PremiumKannabisEXOTICS,"I would start by going to the hottest market right now (archetyp) Filter what you want, then LOOK at the reviews  and compare to statistics (Archetype even tells you how long it takes for a vendor to accept your order, and also delivery time).  These markets are based in escrow, so vendors dont receive funds until order is finalized, meaning TRUST. We have average time to accept orders in 2-3 h and delivery across the us in 3 days. User will tell you what you need to know on those reviews. Take care of fake reviews (""my order was fast"" when average time is more than a week) Good luck!"
comment,c-fb2dfe3517ff91d999,f7bb70dc5d2564b7d4e7,,AngieJ,"What's the question?  Go to a market. Find a vendor with awesome reviews and good feedback and lots of orders. Place an order. Wait.   Is there something I am missing?"
comment,c-446c09014ac60cdf74,c-ea233d253db1c2bc35,,moneyghost,"Infact my first time in darknet I purchased without knowing what escrow is and I was never scammed , positivity is what wins the game and attitude"
comment,c-ea233d253db1c2bc35,f7bb70dc5d2564b7d4e7,,moneyghost,"It all depends with the vendor you are dealing with ,it's not even a must to use escrow.....if it's good vendor of you escrow or not you will be scammed ,but if a trustworthy vendor you can even buy something before a bigger price even without escrow and still get your stuff safe 100%"
comment,c-dc3115f0ec48de888d,c-07544b5e5d5291f997,,lorex1718,Never scammed so it all depends with the vendor literally
comment,c-07544b5e5d5291f997,f7bb70dc5d2564b7d4e7,,lorex1718,"Not must use escrow so long as the vendor has some good signs of being open ,I never used escrow I was scammed ."
comment,c-3767ff0da0598520ef,f7bb70dc5d2564b7d4e7,,ThePinkOne,yes i recommend you look for escrow listings and for vendors are operating in your country for instance and also check the feedback of the vendor
comment,c-7fa4b059f5a9538b17,f7bb70dc5d2564b7d4e7,,logpirate,"It depend on the vendor ,of which you have to be extra careful of scammers"
comment,c-32e917c38c0a4232aa,f7bb70dc5d2564b7d4e7,,Thaddeus,Use markets simple
post,fa7bfa8dee009980518b,,How to ship from America to Europe,Scheissenberg,"Hello, some vendors have big problems shipping from America to Europe. They don’t know how to do it. Can someone explain for them what the best shipping method is, so that they can finally start the shipping? I am waiting for months and there is still no solution"
comment,c-a2d724056c80fd323a,fa7bfa8dee009980518b,,AngieJ,"USPS.   Just make sure it is properly addressed and has enough postage. Don't make it more complicated than it needs to me."
comment,c-7c17ff070f576483ce,fa7bfa8dee009980518b,,BBmohoney,I am interested in this too. With upmost opsec as well.
comment,c-c872a3d23f8d2b876f,c-7018ec1e6850c1683e,,GhostShelf,"Shipping from South America to any country is a bad idea. First, the mail services in South America aren’t the most reliable. Second, it's well known that many drugs originate from the region, so law enforcement agencies worldwide are highly alert and have strict measures in place."
comment,c-7018ec1e6850c1683e,fa7bfa8dee009980518b,,cycgye,Hi I'm interesting to could start shipping from S America to EU
post,c76dc8353ef96190856c,,Question for Vendors,Halpurt18,I want to start vending but wanted to know first if bonds get returned if you decide to close out the account without making any sales?
comment,c-8de1125fcbb565795f,c76dc8353ef96190856c,,Cannabiz99,Just assume it won't.  Cost of doing business
comment,c-420b3e99f3e25a5893,c76dc8353ef96190856c,,awfulname,Depends on the market. It's safer to assume it won't be returned.
comment,c-9cd8d7b0f6c773fc78,c76dc8353ef96190856c,,PremiumKannabisEXOTICS,"It wont be, its the mst likely and can confirm"
comment,c-6fa874cf314e1de2ac,c76dc8353ef96190856c,,GhostShelf,No. Bonds never come back.
comment,c-42dcad4d48974466a8,c76dc8353ef96190856c,,chefboyarDMT,[removed]
post,1a3293beec314767696e,,Belgium: registered mail for untracked delivery == address burned?,generousdumbass,"Received one of those ""your package requires a signature"" letters today as opposed to my package, which happened in the past but this is very suspicious since I've been waiting to receive three very small orders which should all fit in the mailbox (one from the UK). Does anyone know whether they send love letters in Belgium or whether they try to get you arrested once you sign for the package?  I'm required to use a burner address because my own one has been burnt several years ago, I could try to get something small delivered but last time my family claimed the police visited us regarding an intercepted package (could be BS to stop me from ordering illegal stuff to their address)."
comment,c-bc71fa2811b51f4c92,c-693644fb34746af28f,,generousdumbass,"But if you’re worried, you can always just not sign for it and ask the vendor if they shipped it with signed mail or not  I would have to fake an ID which is just adding to the offenses they could charge me for so big no, I just messaged all three.  And yes, Belgium does send love letters. Oops, I should have checked for such a letter. Thanks for the info.  I don't think that's a good idea if your info is already in their system for ordering illegal stuff time for a new address It seems like I was able to receive semi-illegal goods (snus) through DHL though? Could be an option in the future, no?"
comment,c-693644fb34746af28f,1a3293beec314767696e,,TorLarp,"Well, it could also just be normal signed mail. But if you’re worried, you can always just not sign for it and ask the vendor if they shipped it with signed mail or not.  And yes, Belgium does send love letters. From ""Federale Overheidsdienst Financiën"" Not sure if that's just for taxes or if it includes drugs too, but I know they send seizure letters.  ""I could try to get something small delivered but last time my family claimed the police visited us regarding an intercepted package (could be BS to stop me from ordering illegal stuff to their address)."" I don't think that's a good idea if your info is already in their system for ordering illegal stuff time for a new address. :p"
comment,c-d2756e0455ff370327,c-80411fe31b01c31524,,TO4D,Thanks for the heads up!
comment,c-ed2cdbca4fdf90de2e,c-80411fe31b01c31524,,generousdumbass,"Tried to look on Telegram, doesn't really seem to be useful for finding NL dealers, groups getting deleted left and right since they arrested its founder. What do people use nowadays then? Signal has an issue with finding the groups."
comment,c-80411fe31b01c31524,c-a71a8f1771c1b51ad8,,pgpfreak,"Yes, NL is the worse. Had a single package inspected before in my life... It was from there. Been saved by epic stealth. Maybe proximity will make it a bit easier for small quantities; but I wouldn't risk anything major. Better get a domestic delivery and cross the border yourself."
comment,c-a71a8f1771c1b51ad8,c-56552f509a6d1df640,,TO4D,I assume that you consider NL to be a red flag country? I always thought that it would be relatively safe to order to Belgium since it's a neighboring country and a lot of regular mail from there enters the country as well.
comment,c-282a6b309f0274efc6,c-56552f509a6d1df640,,generousdumbass,"I'm not under 18 anymore but that's when I started, problem with domestic is that the quality doesn't cut it :P  Several years ago this would've been completely fine (three packages in transit at the same time), I wonder whether checks got stricter?"
comment,c-56552f509a6d1df640,c-a0bbf45a6b9c0db547,,pgpfreak,"Man... you're having three packages in transit at the same time. One from a red flag country, other from outside EU. Not your real address. LE already got your name (supposedly). I wouldn't be surprised if you were under 18. I mean... it's tough luck, but you take a lot of risks, too. You're wise not to go further with a fake ID though. I don't think DHL will cut it. If I were you I'd stick to domestic for a while. Get your own place. Belgium is not the worse. Just find a vendor who won't get you in trouble again."
comment,c-a0bbf45a6b9c0db547,c-8f736d0ff4e33791eb,,generousdumbass,"Amphetamine - Germany Weed - UK Ketamine - NL  Think the second order got me in trouble."
comment,c-8f736d0ff4e33791eb,1a3293beec314767696e,,GhostShelf,What did you order and from which countries?
post,6624334a53ee3faf42c3,,Shipping bufo venom,hnyejanr,"I read that certain substances are more in the crosshairs than others, and I'd imagine that bufo venom is not something that would raise suspicion in comparison.  Do you think one could get away with just a regular mail envelope with international shipping? Thinking it would just go through as a simple vacation letter.  Or which opsec would be advisable? Vacuum seal or mylar needed? Thanks in advance."
comment,c-0d8ed6857f0d704a87,6624334a53ee3faf42c3,,blackhorn19,Vacuum seal is needed
post,b96d7f4085848151166b,,When to split orders?,cloudffvii,"Hey y'all.  Do you have practice that you follow in term of size of orders in one-go?  If I order for couple of friends and it ends up being 1500$ of various drugs. Should I then split in 2 orders or it is suspect only with much larger quantities? Thanks !"
comment,c-37a45bff65ea99e379,b96d7f4085848151166b,,samwhiskey,"If I order for couple of friends  No one in real life should know that you know anything about the darknet. It's literally the first rule of opsec."
comment,c-f3a25132ae8e8977ba,c-f28986389b83c76b65,,pgpfreak,"Nice rundown. To me the choice between 1 and 2 depends on how much I trust the vendor. If we just started business, I'll go for 2. It's best to start with smaller quantities anyway. If I already know the package will come, then 1 is more appropriate. Each order is a dice roll. There's no point in playing twice if you're confident you'll win the first time."
comment,c-f28986389b83c76b65,b96d7f4085848151166b,,DojaDesperado,"There are at least 2 ways to look at it.   1. Fewer packs are better. 2. Don't put all your drugs in one basket.   $1500 may or may not buy you much depending on your taste in substances. If ordering various drugs, unless you find a vendor that carries everything you want, you may be looking at more than 1 pack anyway to get all the things you're looking for.   A good rule to shop by is to only have 1 pack in the mail stream at a time. Once you receive it, everything is good, nothing out of the ordinary, then order the next one.   Additionally, it doesn't hurt to have other legitimate items on the way at the same time as your pack. Ordering a handful of Amazon packages around the same time gives your pack something to blend in with, especially useful if you're ordering regularly."
comment,c-a85b07d02cbdb97b8a,b96d7f4085848151166b,,GhostShelf,"If you're ordering large quantities, you should place multiple orders. If it's a lot of items but in small quantities, one order is fine."
comment,c-805b3ac983fd051c45,b96d7f4085848151166b,,MetAFoe,Don't go with more than four oz. Like that stuff fits in a box 📬
comment,c-0d2b23bf5d97c4bc89,b96d7f4085848151166b,,blackhorn19,Split into multiple orders bro or it will end up in problem
post,97434834044423057ab2,,Airplane vs. shipping,hnyejanr,"Some people don't seem to have issues with getting bufo venom across borders. Say one was flying from Mexico to central Europe - anyone willing to share best practices for getting a little amount (max. 1g) through security / customs?   Here are three ideas: 1. mixing it with tea, or with dried fruits, like mango or dates  2. mix with stones and copal / incense 3. hide it it behind some battery within a smartphone   Would either method seem suspicious in x-ray or at customs upon arrival?  Or would it be more advisable to use international shipping?  Thank in advance for your inputs!"
comment,c-2448b336fc9fd3f2b4,c-cf6eefae696b4b1de4,,hnyejanr,"thanks for sharing. since bufo is more like a semi-solid plate I have my doubts whether it's suited for powdering, but worth considering"
comment,c-cf6eefae696b4b1de4,97434834044423057ab2,,pdondrugs,"I've traveled the world with a dope habit. If you have small personal amounts you are fine. My go-to is taking vitamins with me and putting my stash in X amount of the capsules. But honestly I just carry it in a pocket on my backpack the last 5 or so years. This includes coke, H and weed I've all done this with. 0 issue."
comment,c-2b6df9a71840b2d7d2,c-8310dec18def02e9b3,,hnyejanr,"thanks, but really wondering if the risk is that big. people I talked to don't seem to go through extra opsec hoops for it, since it doesn't appear to be one of the substances to raise red flags so fast Also, 1g is up to 20 deep experiences, so quite a bit"
comment,c-85265682f50b80ae3c,c-8310dec18def02e9b3,,GhostShelf,"Totally agree. Why are people still trying to smuggle things through airports? Everyone knows there are lots of cameras, police, sniffer dogs, X-rays... not worth going to jail."
comment,c-8310dec18def02e9b3,97434834044423057ab2,,Freestate_EU,"why risk 1g? its a big hassle for little benefit.  save your record for something actually worth taking the risk for."
post,da9ca872ad38c77c1ff4,,25g Haze per Letter,SkyToucher,"I am planning to buy 25g Haze from a vendor and have a question: Can that still be send within one letter, using the postal service? I already asked the vendor but he didn't answer. Or should I order only 10g because that fits better in a letter?"
comment,c-cea9e09bbb767e2e1c,da9ca872ad38c77c1ff4,,Cannabel,"Its totally safe with us (cant speak for other vendors)  We ship 25g bud in a letter and nobody will feel or smell whats inside.  In addition we probably can offer a better price with the same quality than whoever you asked (except US vendors) =)"
comment,c-25fe1495a2c12eb274,da9ca872ad38c77c1ff4,,yougogirl,"The most I've ordered at once was a QP(quarter pd) and didnt have any problems. But now I mostly try to keep it at 2 oz at a time. Its important to mention that this was all domestic, if you were to order overseas then I would keep the volume low."
comment,c-ba7493cc24ab657522,da9ca872ad38c77c1ff4,,GreenConnection,"You can do it with not problems, its totally safe!  :)"
post,38ae1fc2980419a18094,,Does MXE still exist anywhere?,ilikeketamine123,"I know it's completely extinct on the street, but is there any hope of obtaining some (or at least a close analog) though the dark web?  I never got the chance to use it but I've heard that it's like a better, longer lasting ketamine, and, as you could probably guess from my name, that sounds extremely appealing to me. I at the very least want to try it once; it's been on my drug bucket list for a long time.  So is there any hope of obtaining some? Or is it all gone from the face of the earth? Like I've heard that at least Quaaludes are kind of overrated, but so many people praise methoxetamine for being the best dissociative they've ever tried, so I really feel like I missed out."
comment,c-fb00c591855c7f76c6,38ae1fc2980419a18094,,SlutFarmer,"Honestly just do PCP. Similar experience, just a bit more wirey. All the horror stories you here are because of dumb ass people doing 10x the right dose."
comment,c-b76d9652f932a9f7e8,38ae1fc2980419a18094,,Riftchems,we will see soon enough
post,806838f1e19939ffcaaa,,Smuggling rosin on an international flight?,Slowthai,"If someone was to smuggle let's say an ounce of rosin on an international flight, how would they go about achieving this? Assuming they have access to a vaccum sealer? The route would be from a legal to an illegal country.   Looking forward to hearing your thoughts!"
comment,c-4ef6fe1b0b40278e1e,806838f1e19939ffcaaa,,blackhorn19,"It's risky bro  ,Don't do that mistake"
comment,c-e170b354e31a9a7738,806838f1e19939ffcaaa,,jake0126,i just wouldnt even risk it. you NEED to pass customs. so fuck that.
comment,c-8c55c1c50372a27f87,806838f1e19939ffcaaa,,pray,"Bad idea, there is better ways to get packs in to an illegal country. Unless you prefer to go to prison."
comment,c-a06574eb8d25179269,c-f4e4b41fa24e00547a,,jam3,keister it. only way
comment,c-f4e4b41fa24e00547a,806838f1e19939ffcaaa,,sabb15,Anus bro. Right in the anus.
comment,c-405ffc57b23f365cf7,806838f1e19939ffcaaa,,FinesH,why don't you ship it yourself in a letter?
comment,c-d5a271d2c8fe444476,806838f1e19939ffcaaa,,MinusMacher,"In some countries you can get licenses to transport medical weed to other countries, sometimes even illegal countries without medical weed (in Schengen for example). Otherwise you can try to make edibles out of it and put them into a bag with lots of other food."
comment,c-43ae6fd96022990ae9,806838f1e19939ffcaaa,,MetAFoe,Check your destination laws and be careful and well aware of your surroundings
comment,c-d7bc6c371d2fa66dff,806838f1e19939ffcaaa,,SlutFarmer,[removed]
post,88b5e3bfbf95f2d2108a,,"package issue, what should I do?",randomaccount999,"sent package to buyer, 3rd party tracking shows order as delivered buyer said item didn't show. USPS shows address as invalid despite it being same the buyer gave. Buyer said his address may be burnt due to a prior order. Package attempted to return to sender (fake address). Package then was sent to GA where item's that are considered lost/underliverable goto. Now package is being sent back to the county it was sent from. Any tips? Should I clean house and go on vacation mode for some time? What should I do? Check tracking today, shows as moving through system in city near location it was sent from. (Not checking tracking anymore, every time tracking was checked was via a vpn or proxy). County it was re-sent too has fingerprints in the system from a decade ago.  Order was nothing big, small $60-$70 order package of some benzo's.  This has me worried as it was already attempted to be resent to sender and failed, went to GA where packages that are lost/etc are opened/auctioned but is now back in my county. What should I do?"
comment,c-6f24436fa8a6bd91a5,88b5e3bfbf95f2d2108a,,MetAFoe,As a Vendor you should know better
comment,c-c1ca7bd7a30601f5d7,c-874fa7df9e14e5b5e1,,white_thrash,Notorious knew the way
comment,c-874fa7df9e14e5b5e1,88b5e3bfbf95f2d2108a,,trippymane,"In the words of the great american philosopher, biggie smalls  Rule 5 of the ten crack commandments  ""never sell no crack where you rest at I don't care if they want an ounce, tell 'em ""bounce!"""""
comment,c-400c8a93f163e80f32,88b5e3bfbf95f2d2108a,,Tre,"I wouldn't sweat it but yeah in the future before sending packs you should validate the address to avoid these issues. Also, you need to start wearing latex gloves when packaging & you need to do much better on OPSEC to be honest.  As for the buyer, obviously they are shit out of luck. With that said, i think you are over stressing."
post,5def8253e4e88845a0db,,truegenerics  Legit??,NierAuto,"Wanna buy some accutane from him on Dark Matter Market since im broke af buttt is heeeeeeee LEGIT????"
post,e6a96d14edc2728999fa,,Dark Matter is using two naked lesbians in Dread ads — is this just clickbait?,GhostShelf,"Is it just me, or is Dark Matter Market using two hot naked lesbians to draw users to their site? I have to admit, it worked on me. It would make more sense if DrugHub did it."
comment,c-609e781b276644d38b,c-f25ce477b1e85ca723,,DrugHub,"That's not my line, Paris said it a while ago but yeah I like it."
comment,c-f25ce477b1e85ca723,c-a4b9370c4b7264c5a0,,GhostShelf,Short and true. Best one so far LMAO
comment,c-8723c3f19bdefdd84d,c-a4b9370c4b7264c5a0,,StopBeingGay,[removed]
comment,c-815b875d0f65452fcb,c-a4b9370c4b7264c5a0,,StopBeingGay,[removed]
comment,c-a4b9370c4b7264c5a0,e6a96d14edc2728999fa,,DrugHub,Tits get clicks.
comment,c-06cad584af5200ecd0,c-6657bdc06472e76d72,,StopBeingGay,[removed by moderators]
comment,c-6657bdc06472e76d72,c-b4bd1aacb43322698b,,GhostShelf,Same here. These guys know marketing — no doubt about that.
comment,c-3184bfdb06d00e2184,c-b4bd1aacb43322698b,,StopBeingGay,[removed]
comment,c-b4bd1aacb43322698b,e6a96d14edc2728999fa,,Wilhelmo,Yes they do and it caught my attention as well. :D
comment,c-7c65cb360920f57465,c-535c3e26a7dfd68638,,Fyodor-MD,"no. i like seeing cash and drugs , not naked women."
comment,c-535c3e26a7dfd68638,c-a993cb327a04d11c61,,Phobos36,"/u/Fyodor-MD  Do you not like naked wymenz, Kevin Fyodor?"
comment,c-a993cb327a04d11c61,c-05dde89c100721443f,,GhostShelf,He doesn't like chicks?
comment,c-743b37f2cdd0fb1c4e,c-ab7cf11ed85d202828,,Fyodor-MD,we run this thread !
comment,c-ab7cf11ed85d202828,c-05dde89c100721443f,,StopBeingGay,[removed]
comment,c-05dde89c100721443f,e6a96d14edc2728999fa,,Phobos36,"Ask Kevin Fyodor about it, he's the only one who has a problem with it. /u/Fyodor-MD, explain yourself mister Kevin Fyodor, dean of /d/CafeDread."
comment,c-1d467c6c7d757e8552,c-8895d274879a11e5c0,,GhostShelf,I don't think so lol. There should be a NSFW warning.
comment,c-6567d9e1bbea8f24ec,c-8895d274879a11e5c0,,StopBeingGay,[removed]
comment,c-8895d274879a11e5c0,e6a96d14edc2728999fa,,HarrierDoBois,It has already been joked that such advertising can be seen by children?
comment,c-65ec8229c9a69185dd,e6a96d14edc2728999fa,,Lyubovina,Hot lesbians in your area want to skim cards
comment,c-d3ee486f89dc3adae5,c-25d9e30b76825cd5e0,,GhostShelf,LMAO hahaha
comment,c-e4081c6260965fe9f8,c-e87158ded70ad47888,,awfulname,shut up baby bottle your opinion is null
comment,c-e87158ded70ad47888,c-25d9e30b76825cd5e0,,StopBeingGay,[removed]
comment,c-25d9e30b76825cd5e0,e6a96d14edc2728999fa,,awfulname,Would be more effective if they showed some butt imo
comment,c-c7d717c1679935203c,c-b508826abf531ad487,,GhostShelf,Naked lesbians next to DrugHub really gives a porn vibe.
comment,c-b508826abf531ad487,e6a96d14edc2728999fa,,Und3rgr0und,"Thought there was finally porn on dread, I was wrong."
comment,c-0a61f8107442b8a04a,c-4c1032c3b38781a9d5,,GhostShelf,Is more than enough. Dread makes me horny.
comment,c-4c1032c3b38781a9d5,c-4036c59658913da04a,,amicursed,is a small thumbnail is enough to jerk u off ?
comment,c-4036c59658913da04a,c-6d0b8ae9c46f8b54f0,,GhostShelf,People come to buy drugs and end up jerking off.
comment,c-8b134b87e215a8c108,c-6d0b8ae9c46f8b54f0,,StopBeingGay,[pending moderation]
comment,c-6d0b8ae9c46f8b54f0,e6a96d14edc2728999fa,,amicursed,"yeah people who has idea to buy goods come to dread , then they show this ,  and people forget to buy goods and click that ,  then they see dark matter then decide to buy ..   but still there are some female audience as well like , like who cook meth and caught by cops in Australia,  they click these type of things out of curiosity, like what's happening here , and again find dark matter,   I don't think lesbians have that brain to do stuff like these woman do , so lesbians are not (the target audience)  .   so everyone is covered."
comment,c-aa39b855298472274c,e6a96d14edc2728999fa,,Steff,"oh you mean the free naked lesbians bonus with every gram purchase? Yeah, they are just handing them out like candy"
comment,c-d86959a683c1ec75a2,c-191d425d3fb72f2504,,StopBeingGay,[pending moderation]
comment,c-191d425d3fb72f2504,e6a96d14edc2728999fa,,Tre,"Given the amount of homosexuality around here, i'm actually shocked someone noticed the tits.   Good for you man, good for you"
comment,c-7f6052b322bb4798a0,e6a96d14edc2728999fa,,Themeaningfulhit,half of their advertisement are just porn. and guess what? It works!
comment,c-b28bc1b5e2f716c5d4,c-9141fb6372c2560a24,,StopBeingGay,[removed]
comment,c-9141fb6372c2560a24,e6a96d14edc2728999fa,,pgpfreak,It works. But it's lazy.
comment,c-eecae8e0e7e81541e7,e6a96d14edc2728999fa,,StopBeingGay,[pending moderation]
comment,c-e58520e7324d40d301,e6a96d14edc2728999fa,,Thaddeus,It does work hmmm
comment,c-d77f0bd7b789d8ef06,e6a96d14edc2728999fa,,Alpha_Bae,"I see two dinosaurs 2 Lick-a-lotta-puss"
